,pearson_corr,p_val2
mH&Y_Gamma_channel79,-0.4121596435076885,0.07094962639569932
UPDRS III _Beta_channel109,-0.41198512756953487,0.07108109716585527
UPDRS III _Gamma_channel89,-0.41108650291594223,0.07176096092668824
Apathy_Delta_channel96,-0.4106455312511351,0.07209635634725622
UPDRS III _Delta_channel52,-0.4105726560419152,0.07215189664923072
Apathy_Beta_channel44,0.4083544679840042,0.07385779613833887
UPDRS III _Alpha_channel26,-0.407158175942953,0.07479021059918164
MoCA corretto_Gamma_channel1,-0.4071302534842283,0.07481207827209646
BDI_Alpha_channel73,0.4067812691225279,0.0750857902771799
mH&Y_Gamma_channel17,-0.4066474450106708,0.07519094771330033
UPDRS III _Gamma_channel85,-0.4057553523998695,0.07589475139446872
UPDRS III _Beta_channel62,-0.40486516315063215,0.07660193416907957
Apathy_Theta_channel35,0.4045869607909333,0.07682394617712138
Apathy_Theta_channel39,0.4043228570274888,0.0770351499959914
MoCA corretto_Theta_channel81,0.40406933695790004,0.07723829622508832
Apathy_Beta_channel7,0.40389048161846014,0.0773818530372565
UPDRS III _Delta_channel54,-0.40362301919330024,0.07759689985573712
MoCA corretto_Delta_channel11,-0.4033521868606458,0.07781510879038704
mH&Y_Theta_channel76,-0.40324430616918455,0.07790215495474138
UPDRS III _Delta_channel51,-0.40307560397599745,0.07803842153997417
UPDRS III _Alpha_channel93,-0.40298979186030154,0.07810780290552737
Apathy_Theta_channel3,0.40257253525096803,0.07844581967449248
mH&Y_Gamma_channel37,-0.4007889492229708,0.07990295592748102
mH&Y_Alpha_channel37,-0.4006667907487987,0.0800034855263806
Apathy_Delta_channel11,0.4006130676764407,0.08004772631506654
UPDRS III _Gamma_channel54,-0.39984403246740213,0.08068301605337658
UPDRS III _Beta_channel17,-0.39915677511905234,0.08125390703464233
MoCA corretto_Gamma_channel2,-0.39906033628935644,0.08133425574984253
MoCA corretto_Delta_channel4,-0.398489551960587,0.08181101495686391
UPDRS III _Delta_channel32,0.39821012580707765,0.08204516466811428
MoCA corretto_Beta_channel79,0.3981732400271725,0.08207611075268005
