,OR,log_OR,p-value,2.5%,97.5%
Alpha_channel70,1.0000780965298337,7.809348045853618e-05,0.6582344390108928,0.9997321144833315,1.000424198311988
Beta_channel97,1.0000737509563027,7.374823683471816e-05,0.6075009051878759,0.9997923611055697,1.0003552200037285
Theta_channel81,1.0000730182869082,7.301562120295689e-05,0.34209057012669297,0.9999223854124304,1.0002236738534103
Theta_channel80,1.0000728084941843,7.280584377462029e-05,0.2123280429561235,0.9999583919887948,1.0001872380912555
Gamma_channel32,1.0000717835443989,7.178096808355275e-05,0.8468680236398161,0.999343480961725,1.0008006169001873
Theta_channel70,1.0000685698466254,6.856749582095542e-05,0.6653827049254656,0.9997578643022378,1.0003793719523293
Delta_channel69,1.0000634536336732,6.345162057651067e-05,0.7626912613113236,0.999651644531662,1.000475432381518
Alpha_channel32,1.0000628508361435,6.284886111248922e-05,0.4826687835643094,0.9998873871344633,1.0002383453288017
Delta_channel71,1.0000589784223626,5.897668320381209e-05,0.5164318805934451,0.9998808359486312,1.000237152634617
Beta_channel101,1.0000544658683777,5.446438516606467e-05,0.7858845919666504,0.9996615716110622,1.0004475145438498
Theta_channel86,1.0000537564237288,5.3754978904081195e-05,0.3154010971128003,0.999948813343098,1.0001587105179734
Theta_channel79,1.0000533946038894,5.3393178448311936e-05,0.4879654217693843,0.9999025091150555,1.0002043028613739
Delta_channel33,1.0000531428785786,5.3141466545829955e-05,0.22501709273262627,0.9999672969518751,1.0001389961750462
Theta_channel87,1.0000521373645874,5.213600548224883e-05,0.5885055776033543,0.9998632652370109,1.0002410451697228
Alpha_channel33,1.0000513873166996,5.138599641673135e-05,0.4205293881829003,0.9999263554268977,1.0001764348406263
Gamma_channel54,1.0000513518075869,5.135048912797121e-05,0.978340055328601,0.9963510288674376,1.0037654172837147
Alpha_channel66,1.0000485097802203,4.850860365894087e-05,0.5211536969076297,0.9999003217795874,1.0001967197427257
Delta_channel86,1.0000479618354448,4.7960685312589224e-05,0.19191416028411412,0.9999759259372899,1.000120002922895
Delta_channel73,1.0000469032669275,4.6902167003647e-05,0.3094943602574818,0.9999564494674358,1.0001373652486654
Alpha_channel80,1.0000466583882264,4.665729975757725e-05,0.32983533467609183,0.9999528136395722,1.000140511944133
Delta_channel32,1.0000450308382076,4.502982434975762e-05,0.3093169484424806,0.9999582198136769,1.0001318493992069
Delta_channel87,1.000042946317824,4.294539565720835e-05,0.43602801207109776,0.9999348855279859,1.0001510187855567
Delta_channel107,1.0000365986443402,3.6597974626111305e-05,0.49556151216267175,0.9999313446190325,1.0001418637488182
Alpha_channel95,1.0000365619718747,3.656130350221693e-05,0.26840142718273896,0.9999718146958275,1.00010131344025
Delta_channel81,1.0000349342747668,3.493366457911656e-05,0.3975097632314232,0.9999540097939794,1.0001158653046267
Delta_channel72,1.0000340149485372,3.401437004184128e-05,0.4803115778857976,0.9999395605478858,1.0001284782713613
Alpha_channel101,1.0000336786191042,3.367805199220918e-05,0.6775193952068672,0.9998749563096162,1.0001924261245143
Alpha_channel86,1.0000333744096348,3.3373852721638337e-05,0.4306879746484552,0.999950367076489,1.00011638863334
Alpha_channel34,1.0000332936333962,3.329307917545174e-05,0.37491476468994767,0.9999597529499804,1.0001068397252617
Gamma_channel89,1.0000318562387287,3.185573132949224e-05,0.9171793283038177,0.9994315977493058,1.0006324752433233
Delta_channel79,1.00003182729022,3.182678374256986e-05,0.591275025588412,0.9999156653563316,1.0001480027188414
Theta_channel66,1.0000306902843583,3.068981342125325e-05,0.6368252275704885,0.9999032944874139,1.0001581023125616
Alpha_channel97,1.0000304522482715,3.0451784611200606e-05,0.4890735197572724,0.9999441771721376,1.0001167347682096
Theta_channel34,1.0000288229574619,2.8822542088498706e-05,0.4661252139684371,0.9999513109711576,1.0001063409521669
Alpha_channel103,1.0000265863024882,2.6585949078634486e-05,0.6579341610471552,0.9999089040827402,1.0001442823726026
